ID,Tanggal,Judulk
61,Sabtu 01 Feb 2020 1721 WIB,perumahan garden city tangerang terendam banjir 148 warga dievakuasi
62,Sabtu 01 Feb 2020 1716 WIB,china imbau tunda pernikahan di tanggal cantik 2 februari karena corona
63,Sabtu 01 Feb 2020 1711 WIB,video suasana panas demo warga natuna soal tempat karantina
64,Sabtu 01 Feb 2020 1705 WIB,gempa m 44 terjadi di nusa dua bali
65,Sabtu 01 Feb 2020 1703 WIB,polwan ini buat anak-anak lupa dengan trauma banjir bandang yang dialami
66,Sabtu 01 Feb 2020 1657 WIB,warga natuna diajak berdialog soal wni dari wuhan yang bakal diobservasi
67,Sabtu 01 Feb 2020 1656 WIB,menlu ke tim penjemput wni di wuhan ini misi mulia semangat
68,Sabtu 01 Feb 2020 1655 WIB,penjual koran tewas jadi korban tabrak lari truk di semarang
69,Sabtu 01 Feb 2020 1648 WIB,tolak jadi tempat observasi wni dari wuhan warga datangi dprd natuna
70,Sabtu 01 Feb 2020 1645 WIB,diguyur hujan sejak kemarin tangerang terendam banjir
71,Sabtu 01 Feb 2020 1642 WIB,tni au siapkan 3 pesawat wni dari wuhan usai transit di batam ke natuna
72,Sabtu 01 Feb 2020 1640 WIB,netizen penghina risma tertangkap
73,Sabtu 01 Feb 2020 1636 WIB,gempa m 49 terjadi di mukomuko bengkulu
74,Sabtu 01 Feb 2020 1635 WIB,who umumkan situasi darurat global terkait virus corona apa artinya
75,Sabtu 01 Feb 2020 1630 WIB,pajang foto gadis bugil netizen garut terancam 18 tahun bui
76,Sabtu 01 Feb 2020 1629 WIB,percobaan penyelundupan sabu ke napi kebonwaru
77,Sabtu 01 Feb 2020 1624 WIB,banjir di jalan total persada tangerang belum surut tinggi air capai 90 cm
78,Sabtu 01 Feb 2020 1620 WIB,belum ada bukti ilmiah iklim tropis bikin virus corona tidak aktif
79,Sabtu 01 Feb 2020 1619 WIB,wagub jatim sebut jember berpotensi jadi center of gravity di tapal kuda
80,Sabtu 01 Feb 2020 1619 WIB,dari yogya mampir solo jokowi ajak cucu main ke mal
81,Sabtu 01 Feb 2020 1613 WIB,alami kecelakaan sopir bus rombongan kiai nu jatim dioperasi
82,Sabtu 01 Feb 2020 1602 WIB,negara lain evakuasi warganya china justru pulangkan warganya ke wuhan
83,Sabtu 01 Feb 2020 1600 WIB,prosedur wni dari wuhan setiba di ri pakaian diganti dan dimusnahkan
84,Sabtu 01 Feb 2020 1552 WIB,momen persiapan tim penjemput wni di wuhan
85,Sabtu 01 Feb 2020 1550 WIB,polisi di tanjung karang lampung dikeroyok tahanan saat bersihkan sel
86,Sabtu 01 Feb 2020 1547 WIB,kemendikbud ajak guru se-banyuwangi kenali potensi siswa
87,Sabtu 01 Feb 2020 1547 WIB,wajah monas usai revitalisasi disetop sementara
88,Sabtu 01 Feb 2020 1547 WIB,video ramai-ramai warga natuna tolak wni dari china
89,Sabtu 01 Feb 2020 1546 WIB,pesawat akan disemprot disinfektan usai evakuasi wni dari wuhan
90,Sabtu 01 Feb 2020 1540 WIB,polda riau sita 2 ekor beruang madu dari pasutri di pelalawan
91,Sabtu 01 Feb 2020 1536 WIB,hanggar lanud raden sadjad natuna jadi tempat observasi wni dari wuhan
92,Sabtu 01 Feb 2020 1532 WIB,2020 orang ikuti festival menulis aksara bali
93,Sabtu 01 Feb 2020 1530 WIB,doa syukur nikmat lengkap arab dan artinya
94,Sabtu 01 Feb 2020 1527 WIB,wabup natuna diminta tenangkan warga yang demo tolak wni dari wuhan
95,Sabtu 01 Feb 2020 1526 WIB,7 bulan kabur setelah hamili siswi smk pria ini akhirnya tertangkap
96,Sabtu 01 Feb 2020 1524 WIB,video warga natuna ramai-ramai demo tolak jadi tempat karantina
97,Sabtu 01 Feb 2020 1522 WIB,cegah corona australia larang masuk warga asing yang tiba dari china
98,Sabtu 01 Feb 2020 1521 WIB,gara-gara sarapan suami aniaya istri yang hamil 7 bulan hingga tewas
99,Sabtu 01 Feb 2020 1520 WIB,2 pria selundupkan sabu pakai botol pesanan napi kebonwaru
100,Sabtu 01 Feb 2020 1520 WIB,video menlu retno sebut 245 warga akan dievakuasi dari wuhan
101,Sabtu 01 Feb 2020 1516 WIB,harapan ganjar gibran-rudy jalan gandengan di car free day solo besok
102,Sabtu 01 Feb 2020 1509 WIB,bantu cegah penyebaran corona pmi akan kirim 10 ribu masker ke hong kong
103,Sabtu 01 Feb 2020 1508 WIB,video seluruh wni dari china akan diisolasi sementara di natuna
104,Sabtu 01 Feb 2020 1507 WIB,ceo lion air pastikan terapkan prosedur ketat pesawat penjemput wni di wuhan
105,Sabtu 01 Feb 2020 1501 WIB,video bus di ciamis terjun ke kolam ikan hindari tabrakan
106,Sabtu 01 Feb 2020 1451 WIB,polda jabar siap turun tangan telusuri netizen penghina risma
107,Sabtu 01 Feb 2020 1448 WIB,denpasar dan banyuwangi kerjasama datangkan lebih banyak wisatawan
108,Sabtu 01 Feb 2020 1440 WIB,warga natuna demo tolak wni dari wuhan istana ini evakuasi kemanusiaan
109,Sabtu 01 Feb 2020 1433 WIB,pwi pastikan jokowi hadiri hpn 2020 pekan depan
110,Sabtu 01 Feb 2020 1421 WIB,seputar banjir yang sempat lumpuhkan surabaya risma pun turun tangan
111,Sabtu 01 Feb 2020 1419 WIB,duit puluhan juta warga kaltim masuk ke rekening orang dekat dony pedro
112,Sabtu 01 Feb 2020 1408 WIB,serunya bermain salju ditemani cokelat panas dan croissant
113,Sabtu 01 Feb 2020 1406 WIB,as darurat virus corona warga asing yang baru pergi ke china dilarang masuk
114,Sabtu 01 Feb 2020 1402 WIB,bpjs kesehatan tanggung pengobatan atlet voli penderita tumor
115,Sabtu 01 Feb 2020 1401 WIB,jerman kerahkan pesawat militer untuk evakuasi warga di wuhan
116,Sabtu 01 Feb 2020 1401 WIB,dipicu dendam siswa sma di jeneponto sulsel tikam teman sekolah
117,Sabtu 01 Feb 2020 1359 WIB,bocah berusia 12 tahun yang tenggelam di kali bekasi ditemukan tewas
118,Sabtu 01 Feb 2020 1358 WIB,ketua kpu banjarmasin jadi tersangka cabul kpu pusat lapor ke dkpp
119,Sabtu 01 Feb 2020 1346 WIB,diduga gangguan jiwa pria di sinjai potong kemaluan sendiri pakai sabit
120,Sabtu 01 Feb 2020 1346 WIB,tilang elektronik motor di dki berlaku masih ada pengendara langgar lalin
121,Sabtu 01 Feb 2020 1346 WIB,video gangguan lalin usai hujan deras daan mogot hingga tangerang
122,Sabtu 01 Feb 2020 1344 WIB,warga natuna demo tolak jadi tempat observasi wni dari wuhan
123,Sabtu 01 Feb 2020 1331 WIB,pengumuman tilang elektronik motor berlaku hari ini
124,Sabtu 01 Feb 2020 1329 WIB,menlu lepas tim penjemput wni di wuhan tetap semangat kita harus sehat
125,Sabtu 01 Feb 2020 1326 WIB,viral pemotor santuy hadang sedan dishub klaten angkat bicara
126,Sabtu 01 Feb 2020 1324 WIB,saksi mata kerangka misterius terduduk di rumah kosong
127,Sabtu 01 Feb 2020 1324 WIB,warga terdampak banjir di periuk tangerang dievakuasi ada ibu hamil
128,Sabtu 01 Feb 2020 1322 WIB,korea selatan selesai evakuasi 700 warganya dari wuhan gegara corona
129,Sabtu 01 Feb 2020 1319 WIB,kecelakaan di cipali sopir bus rombongan kiai nu jatim dioperasi
130,Sabtu 01 Feb 2020 1316 WIB,menkes wni yang dievakuasi dari china sudah screening dipastikan sehat
131,Sabtu 01 Feb 2020 1310 WIB,ini video acara fashion show di gerbong mrt yang viral
132,Sabtu 01 Feb 2020 1310 WIB,bmkg keluarkan peringatan dini hujan lebat-petir di jateng
133,Sabtu 01 Feb 2020 1308 WIB,ini alasan pemerintah pilih natuna tempat observasi wni dari china
134,Sabtu 01 Feb 2020 1307 WIB,misteri sumur tua di cimahi keluarkan uap dan air panas
135,Sabtu 01 Feb 2020 1306 WIB,segera dievakuasi ke ri wni di sejumlah titik bergerak menuju wuhan
136,Sabtu 01 Feb 2020 1305 WIB,panglima tni lepas satgas garuda ke australia
137,Sabtu 01 Feb 2020 1258 WIB,tim penjemput wni di wuhan 42 orang berpakaian khusus antivirus corona
138,Sabtu 01 Feb 2020 1252 WIB,fenomena sumur air panas yang bikin warga cimahi geger
139,Sabtu 01 Feb 2020 1245 WIB,mengembalikan sagu ke piring kita
140,Sabtu 01 Feb 2020 1245 WIB,tim penjemput wni dari china juga bawa bantuan tangani virus corona
141,Sabtu 01 Feb 2020 1245 WIB,wni yang dievakuasi dari china akan jalani observasi standar protokol who
142,Sabtu 01 Feb 2020 1239 WIB,panglima tni pastikan natuna jadi tempat observasi wni dari china
143,Sabtu 01 Feb 2020 1227 WIB,sosialisasi saat reses ketua dprd surabaya jangan ada warga tak bisa makan
144,Sabtu 01 Feb 2020 1226 WIB,dubes china imbau negara-negara tidak perlu panik soal virus corona
145,Sabtu 01 Feb 2020 1224 WIB,geger muncul air panas dari sumur warga di cimahi
146,Sabtu 01 Feb 2020 1224 WIB,total 245 wni yang dievakuasi dari china
147,Sabtu 01 Feb 2020 1222 WIB,menlu wni di hubei sehat senang akan pulang ke tanah air
148,Sabtu 01 Feb 2020 1222 WIB,polisi sudah sebulan pantau kegiatan king of the king
149,Sabtu 01 Feb 2020 1220 WIB,momen panglima tni lepas satgas bantuan kebakaran hutan di australia
150,Sabtu 01 Feb 2020 1214 WIB,wni dievakuasi dari wuhan china bnpb akan jalani observasi 2 minggu
151,Sabtu 01 Feb 2020 1211 WIB,penularan pertama virus corona antarmanusia terjadi di thailand
152,Sabtu 01 Feb 2020 1209 WIB,polda jabar siap bantu tangkap dony pedro king of the king
153,Sabtu 01 Feb 2020 1206 WIB,mobil tercebur ke kali di pik jakut polisi diduga pengemudi mabuk
154,Sabtu 01 Feb 2020 1200 WIB,rumah adat honai khas papua terus dilestarikan
155,Sabtu 01 Feb 2020 1159 WIB,who menutup perbatasan negara justru bisa percepat penyebaran corona
156,Sabtu 01 Feb 2020 1157 WIB,wabup natuna tolak wilayah jadi tempat transit wni dari china ini alasannya
157,Sabtu 01 Feb 2020 1151 WIB,bawaslu ri gelar rapat kerja teknis pengawasan pilkada 2020
158,Sabtu 01 Feb 2020 1149 WIB,4 hari diisolasi kondisi mahasiswi madiun yang pulang dari china membaik
159,Sabtu 01 Feb 2020 1143 WIB,melihat taman situ leutik yang instagramable di banjar
160,Sabtu 01 Feb 2020 1138 WIB,terpopuler di jateng sukiyah 27 tahun tak mandi rambut jadi sarang tikus
161,Sabtu 01 Feb 2020 1135 WIB,begini potret bus yang terjun ke kolam ikan di ciamis
162,Sabtu 01 Feb 2020 1132 WIB,warga natuna tolak wilayahnya jadi tempat karantina wni dari china
163,Sabtu 01 Feb 2020 1130 WIB,tangani wni dievakuasi dari wuhan marinir kirim satgas kemanusiaan ke natuna
164,Sabtu 01 Feb 2020 1128 WIB,ini kata bmkg soal banjir yang sempat lumpuhkan surabaya
165,Sabtu 01 Feb 2020 1122 WIB,kunjungi aburizal bakrie ketua mpr bahas rebranding ormas
166,Sabtu 01 Feb 2020 1120 WIB,tabrakan maut bus vs mobil di luwu timur sulsel 5 orang tewas
167,Sabtu 01 Feb 2020 1120 WIB,cerita gadis rela bugil dan ulah nakal netizen garut
168,Sabtu 01 Feb 2020 1119 WIB,23 titik di tangerang terendam banjir tinggi air 10-100 cm
169,Sabtu 01 Feb 2020 1112 WIB,orang idap gangguan jiwa curi truk baru melaju 50 meter sudah tabrak rumah
170,Sabtu 01 Feb 2020 1100 WIB,dari balik sel rita widyasari surati dprd kukar protes pemilihan wabup
171,Sabtu 01 Feb 2020 1057 WIB,ragam komentar detikers kehilangan raden rangga sunda empire
172,Sabtu 01 Feb 2020 1055 WIB,kasus pertama di rusia 2 warga china positif virus corona
173,Sabtu 01 Feb 2020 1051 WIB,istana hormati evakuasi wni di hubei agar semua dapat perlindungan optimal
174,Sabtu 01 Feb 2020 1050 WIB,wow ada pesta bakso di arena salju trans snow world bekasi
175,Sabtu 01 Feb 2020 1045 WIB,bocah sd tewas dibunuh di bawah jembatan ini cerita sedih sang nenek
176,Sabtu 01 Feb 2020 1040 WIB,51800 peserta ikuti tes cpns di kota tasikmalaya
177,Sabtu 01 Feb 2020 1034 WIB,mr dony pedro presiden king of the king-ubs-pbb masih diselidiki polisi
178,Sabtu 01 Feb 2020 1031 WIB,merajut literasi di tengah ancaman sekolah rusak
179,Sabtu 01 Feb 2020 1028 WIB,panglima tni lepas satgas garuda bantu atasi kebakaran hutan di australia
180,Sabtu 01 Feb 2020 1023 WIB,bojonegoro terusan wisata diharap dongkrak ekonomi lewat pariwisata
181,Sabtu 01 Feb 2020 1020 WIB,dprd surabaya minta pemkot ubah bangunan terbengkalai jadi puskesmas
182,Sabtu 01 Feb 2020 1015 WIB,asrama haji batam tak jadi tempat karantina wni yang dievakuasi dari wuhan
183,Sabtu 01 Feb 2020 1014 WIB,beli laptop pakai sim card korban 2 jambret di menteng ditangkap
184,Sabtu 01 Feb 2020 1013 WIB,penyebar hoax virus corona di balikpapan diperiksa polisi ini pengakuannya
185,Sabtu 01 Feb 2020 0957 WIB,membuka selubung kerajaan halu keraton agung sejagat
186,Sabtu 01 Feb 2020 0956 WIB,ibu muda di ngawi gantung diri setelah bertengkar dengan suami
187,Sabtu 01 Feb 2020 0953 WIB,berdalih dongrak followers pemuda garut gaet gadis bugil
188,Sabtu 01 Feb 2020 0951 WIB,korban jiwa akibat virus corona di china bertambah jadi 259 orang
189,Sabtu 01 Feb 2020 0950 WIB,ganja sempat diusulkan jadi komoditas ekspor mui itu barang haram
190,Sabtu 01 Feb 2020 0939 WIB,golkar ajak menko mahfud-mendagri tito fokus tuntaskan masalah negara
191,Sabtu 01 Feb 2020 0930 WIB,akui usul raperda anti lgbt dprd ada 5700 komunitas gay di depok
192,Sabtu 01 Feb 2020 0918 WIB,hindari tabrakan bus terjun ke kolam ikan di ciamis
193,Sabtu 01 Feb 2020 0916 WIB,sc kongres pan buka opsi debat terbuka 3 kubu caketum setuju
194,Sabtu 01 Feb 2020 0916 WIB,apa yang terjadi setelah who nyatakan virus corona sebagai darurat global
195,Sabtu 01 Feb 2020 0914 WIB,membuka selubung keraton agung sejagat
196,Sabtu 01 Feb 2020 0909 WIB,hendak berbelanja ibu ini tewas tertabrak kereta api
197,Sabtu 01 Feb 2020 0902 WIB,mahfud doakan mendagri tito jadi presiden gerindra belanda masih jauh
198,Sabtu 01 Feb 2020 0902 WIB,pesawat militer jerman berangkat ke wuhan untuk evakuasi
199,Sabtu 01 Feb 2020 0902 WIB,aneka celotehan bombastis raden rangga sebelum ditahan
200,Sabtu 01 Feb 2020 0901 WIB,viral pemotor santuy tapi bikin heboh karena hadang mobil di klaten
201,Sabtu 01 Feb 2020 0857 WIB,115 juta penduduk ri mentas dari kemiskinan tapi rentan miskin lagi
202,Sabtu 01 Feb 2020 0844 WIB,netizen penghina risma terdeteksi ada di jawa barat
203,Sabtu 01 Feb 2020 0838 WIB,acara fashion show di gerbong viral pt mrt minta maaf atas ketidaknyamanan
204,Sabtu 01 Feb 2020 0837 WIB,begini aksi risma turun langsung atasi banjir surabaya
205,Sabtu 01 Feb 2020 0832 WIB,aksi santuy tegar gorok sopir angkot tertangkap kamera pengintai
206,Sabtu 01 Feb 2020 0819 WIB,yasonna siap mundur terkait harun masiku nasdem minta kpk turun tangan
207,Sabtu 01 Feb 2020 0818 WIB,mendagri tito sebut mesin pencetak e-ktp mandiri bisa cegah korupsi
208,Sabtu 01 Feb 2020 0813 WIB,jabar sepekan raden rangga cs ditahan-lina eks sule meninggal wajar
209,Sabtu 01 Feb 2020 0811 WIB,pohon tumbang di sekitar emporium pluit lalu lintas macet
210,Sabtu 01 Feb 2020 0808 WIB,semua berawal dari fiksi harta sukarno di swiss
211,Sabtu 01 Feb 2020 0804 WIB,sebentar lagi membuka selubung keraton agung sejagat
212,Sabtu 01 Feb 2020 0756 WIB,politikus pks tarik ucapan usai usul ekspor ganja tuai kritikan
213,Sabtu 01 Feb 2020 0748 WIB,nikita dijemput paksa untuk diserahkan ke jaksa
214,Sabtu 01 Feb 2020 0741 WIB,taman situ leutik ruang publik favorit kota banjar
215,Sabtu 01 Feb 2020 0740 WIB,menanti indahnya kali hasil naturalisasi
216,Sabtu 01 Feb 2020 0737 WIB,kasus netizen hina risma saksi ahli sebut sudah penuhi ujaran kebencian
217,Sabtu 01 Feb 2020 0725 WIB,kawasan tendean jaksel diguyur hujan pagi ini
218,Sabtu 01 Feb 2020 0710 WIB,kereta wapres buat krl terlambat ini keprotokolan yang perlu diketahui
219,Sabtu 01 Feb 2020 0642 WIB,akhir prostitusi gang royal di utara jakarta
220,Sabtu 01 Feb 2020 0621 WIB,kisah remaja update status wa berujung celaka
221,Sabtu 01 Feb 2020 0605 WIB,diguyur hujan selama 1 jam tangerang regency 2 banjir 60 cm
222,Sabtu 01 Feb 2020 0543 WIB,manuver poros baru dan gnpf ulama di ibu kota sumatera utara
223,Sabtu 01 Feb 2020 0521 WIB,akhir tragis kencan 2 lelaki di tanah abang
224,Sabtu 01 Feb 2020 0506 WIB,bmkg waspada hujan disertai angin kencang di jakbar-jaksel hari ini
225,Sabtu 01 Feb 2020 0430 WIB,doa memohon ketetapan hati dalam mengerjakan sholat
226,Sabtu 01 Feb 2020 0424 WIB,wn prancis suspect corona dievakuasi dari wuhan ke marseille
227,Sabtu 01 Feb 2020 0322 WIB,kendaraan terbalik di tol kunciran arah tangerang km 11
228,Sabtu 01 Feb 2020 0258 WIB,politisi china sesalkan penanganan pemerintah wuhan soal virus corona
229,Sabtu 01 Feb 2020 0202 WIB,kasus di palangka raya disetop jurnalis as pulang ke negara asal
230,Sabtu 01 Feb 2020 0119 WIB,saat risma turun langsung bantu surutkan banjir yang genangi surabaya
231,Sabtu 01 Feb 2020 0110 WIB,virus corona china minta negara tetangga tak tutup perbatasan
232,Sabtu 01 Feb 2020 0037 WIB,diklaim bisa urai macet jalan penghubung jatiasih-pekayon diresmikan
233,Sabtu 01 Feb 2020 0027 WIB,jadi admin grup wa porno seorang pria di tangerang cabuli bocah smp
234,Sabtu 01 Feb 2020 0025 WIB,mahasiswa asal jateng minta dipulangkan dari china ini langkah pemprov
235,Sabtu 01 Feb 2020 0024 WIB,rafli minta maaf soal ganja pks dia sejak lama usul hukum mati bandar
236,Sabtu 01 Feb 2020 0021 WIB,bocah berusia 12 tahun tenggelam saat berenang di kali bekasi
237,Sabtu 01 Feb 2020 0002 WIB,pks tegur keras rafli minta maaf dan tarik usulannya soal ekspor ganja
238,Minggu 02 Feb 2020 2350 WIB,gus sholah wafat begini persiapan di ponpes tebuireng jombang
239,Minggu 02 Feb 2020 2342 WIB,jenazah gus sholah diberangkatkan ke rumah duka di mampang jaksel
240,Minggu 02 Feb 2020 2334 WIB,khawatir virus corona wna pilek langsung dilarikan ke rs
241,Minggu 02 Feb 2020 2327 WIB,jadi anggota nu walkot semarang komit bergerak bersama
242,Minggu 02 Feb 2020 2320 WIB,cerita wni di china ada yang ingin pulang ada yang pilih bertahan
243,Minggu 02 Feb 2020 2318 WIB,korban banjir jati asih dapat bantuan baju hingga alat kebersihan
244,Minggu 02 Feb 2020 2314 WIB,bupati serang bentuk tim khusus guna evakuasi mahasiswa di china
245,Minggu 02 Feb 2020 2311 WIB,pesan pamungkas gus sholah untuk nu dan warga nadhliyin
246,Minggu 02 Feb 2020 2257 WIB,gus sholah wafat menkes terawan hingga sandiaga tiba di rs harapan kita
247,Minggu 02 Feb 2020 2247 WIB,gus sholah meninggal dunia jokowi sampaikan dukacita
248,Minggu 02 Feb 2020 2235 WIB,pesan terakhir gus sholah sebelum meninggal dunia
249,Minggu 02 Feb 2020 2233 WIB,gubernur khofifah berbelangsungkawa atas wafatnya gus sholah
250,Minggu 02 Feb 2020 2226 WIB,warga khawatir terjangkit wni dari wuhan dijamin tak bawa penyakit
251,Minggu 02 Feb 2020 2222 WIB,jenazah gus sholah akan disemayamkan di mampang jaksel
252,Minggu 02 Feb 2020 2213 WIB,warganya meninggal akibat virus corona filipina waspada
253,Minggu 02 Feb 2020 2209 WIB,gus sholah akan dimakamkan di tebu ireng sebelah makam gus dur
254,Minggu 02 Feb 2020 2209 WIB,gus sholah wafat sempat dirawat akibat masalah di jantung
255,Minggu 02 Feb 2020 2149 WIB,gus sholah meninggal dunia pbnu kita kehilangan tokoh panutan
256,Minggu 02 Feb 2020 2132 WIB,meriahnya pawai pekan budaya tionghoa di yogya
257,Minggu 02 Feb 2020 2130 WIB,innalillahi wa inna ilaihi rajiun gus sholah meninggal dunia
258,Minggu 02 Feb 2020 2120 WIB,warga natuna bakar ban di dekat lokasi observasi wni dari wuhan
259,Minggu 02 Feb 2020 2117 WIB,akhir kisah buaya berkalung ban
260,Minggu 02 Feb 2020 2115 WIB,disedot banjir underpass kemayoran turun 15 meter
261,Minggu 02 Feb 2020 2109 WIB,ratusan ibu & anak tumpah ruah di grand final cussons bintang kecil 8
262,Minggu 02 Feb 2020 2108 WIB,anies di majelis tinggi konghucu semoga tahun baru imlek bawa berkah
263,Minggu 02 Feb 2020 2045 WIB,anakan leopard sitaan penyelundupan di riau mati
264,Minggu 02 Feb 2020 2033 WIB,pelaku penculikan yang hamili abg di cianjur terancam 15 tahun penjara
265,Minggu 02 Feb 2020 2030 WIB,mahfud md belum pastikan sampai kapan larangan dari dan ke china berlaku
266,Minggu 02 Feb 2020 2026 WIB,ajak siswi berhubungan badan seorang kurir katering diamankan
